[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@20ccf40b
[INFO ] 2017-04-30 18:26:09.403 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL94Dialect
[DEBUG] 2017-04-30 18:26:09.423 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[INFO ] 2017-04-30 18:26:09.429 [main] LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
[DEBUG] 2017-04-30 18:26:09.431 [main] BasicTypeRegistry - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@76a4ebf2
[DEBUG] 2017-04-30 18:26:09.432 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@76a4ebf2
[INFO ] 2017-04-30 18:26:09.432 [main] BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@2cd2a21f
[DEBUG] 2017-04-30 18:26:09.475 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2017-04-30 18:26:09.476 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2017-04-30 18:26:09.477 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2017-04-30 18:26:09.477 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2017-04-30 18:26:09.478 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2017-04-30 18:26:09.479 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2017-04-30 18:26:09.479 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2017-04-30 18:26:09.481 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2017-04-30 18:26:09.482 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2017-04-30 18:26:09.483 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2017-04-30 18:26:09.483 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2017-04-30 18:26:09.484 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2017-04-30 18:26:09.484 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2017-04-30 18:26:09.485 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[DEBUG] 2017-04-30 18:26:09.521 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2017-04-30 18:26:09.582 [main] AnnotationBinder - Binding entity from annotated class: ru.atom.bombergirl.model.User
[DEBUG] 2017-04-30 18:26:09.609 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2017-04-30 18:26:09.615 [main] EntityBinder - Import with entity name User
[DEBUG] 2017-04-30 18:26:09.616 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=game}, physicalName=Name{catalog=null, schema=game}]
[DEBUG] 2017-04-30 18:26:09.619 [main] EntityBinder - Bind entity ru.atom.bombergirl.model.User on table user
[DEBUG] 2017-04-30 18:26:09.644 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2017-04-30 18:26:09.647 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2017-04-30 18:26:09.649 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.User:id]
[DEBUG] 2017-04-30 18:26:09.651 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2017-04-30 18:26:09.653 [main] PropertyBinder - Building property id
[DEBUG] 2017-04-30 18:26:09.657 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.user), mappingColumn=login, insertable=true, updatable=true, unique=true}
[DEBUG] 2017-04-30 18:26:09.657 [main] PropertyBinder - MetadataSourceProcessor property name with lazy=false
[DEBUG] 2017-04-30 18:26:09.657 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.User:name]
[DEBUG] 2017-04-30 18:26:09.657 [main] SimpleValueBinder - building SimpleValue for name
[DEBUG] 2017-04-30 18:26:09.658 [main] PropertyBinder - Building property name
[DEBUG] 2017-04-30 18:26:09.658 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.user), mappingColumn=password, insertable=true, updatable=true, unique=true}
[DEBUG] 2017-04-30 18:26:09.658 [main] PropertyBinder - MetadataSourceProcessor property password with lazy=false
[DEBUG] 2017-04-30 18:26:09.658 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.User:password]
[DEBUG] 2017-04-30 18:26:09.658 [main] SimpleValueBinder - building SimpleValue for password
